Date,Year,Month,DayName,YearMonth,YearQuarter,YearWeek,WorkingDay,DaysFromNow,WeeksFromNow,MonthsFromNow,QuartersFromNow,YearsFromNow
2018-02-15 00:00:00.000,2018,​​​​​​​​​​Feb,​​Thu,2018 ​​​​​​​​​​Feb,2018Q1,201807,Y,-2198,-314,-72,-24,-6
2018-02-22 00:00:00.000,2018,​​​​​​​​​​Feb,​​Thu,2018 ​​​​​​​​​​Feb,2018Q1,201808,Y,-2191,-313,-72,-24,-6
2018-03-01 00:00:00.000,2018,​​​​​​​​​Mar,​​Thu,2018 ​​​​​​​​​Mar,2018Q1,201809,Y,-2184,-312,-71,-24,-6
2018-03-08 00:00:00.000,2018,​​​​​​​​​Mar,​​Thu,2018 ​​​​​​​​​Mar,2018Q1,201810,Y,-2177,-311,-71,-24,-6
2018-03-15 00:00:00.000,2018,​​​​​​​​​Mar,​​Thu,2018 ​​​​​​​​​Mar,2018Q1,201811,Y,-2170,-310,-71,-24,-6
2018-03-22 00:00:00.000,2018,​​​​​​​​​Mar,​​Thu,2018 ​​​​​​​​​Mar,2018Q1,201812,Y,-2163,-309,-71,-24,-6
2018-03-29 00:00:00.000,2018,​​​​​​​​​Mar,​​Thu,2018 ​​​​​​​​​Mar,2018Q1,201813,Y,-2156,-308,-71,-24,-6
2018-04-05 00:00:00.000,2018,​​​​​​​​Apr,​​Thu,2018 ​​​​​​​​Apr,2018Q2,201814,Y,-2149,-307,-70,-23,-6
2018-04-12 00:00:00.000,2018,​​​​​​​​Apr,​​Thu,2018 ​​​​​​​​Apr,2018Q2,201815,Y,-2142,-306,-70,-23,-6
2018-04-19 00:00:00.000,2018,​​​​​​​​Apr,​​Thu,2018 ​​​​​​​​Apr,2018Q2,201816,Y,-2135,-305,-70,-23,-6
2018-04-26 00:00:00.000,2018,​​​​​​​​Apr,​​Thu,2018 ​​​​​​​​Apr,2018Q2,201817,Y,-2128,-304,-70,-23,-6
2018-05-03 00:00:00.000,2018,​​​​​​​May,​​Thu,2018 ​​​​​​​May,2018Q2,201818,Y,-2121,-303,-69,-23,-6
2018-05-10 00:00:00.000,2018,​​​​​​​May,​​Thu,2018 ​​​​​​​May,2018Q2,201819,Y,-2114,-302,-69,-23,-6
2018-05-17 00:00:00.000,2018,​​​​​​​May,​​Thu,2018 ​​​​​​​May,2018Q2,201820,Y,-2107,-301,-69,-23,-6
2018-05-24 00:00:00.000,2018,​​​​​​​May,​​Thu,2018 ​​​​​​​May,2018Q2,201821,Y,-2100,-300,-69,-23,-6
2018-05-31 00:00:00.000,2018,​​​​​​​May,​​Thu,2018 ​​​​​​​May,2018Q2,201822,Y,-2093,-299,-69,-23,-6
2018-06-07 00:00:00.000,2018,​​​​​​Jun,​​Thu,2018 ​​​​​​Jun,2018Q2,201823,Y,-2086,-298,-68,-23,-6
2018-06-14 00:00:00.000,2018,​​​​​​Jun,​​Thu,2018 ​​​​​​Jun,2018Q2,201824,Y,-2079,-297,-68,-23,-6
2018-06-21 00:00:00.000,2018,​​​​​​Jun,​​Thu,2018 ​​​​​​Jun,2018Q2,201825,Y,-2072,-296,-68,-23,-6
2018-06-28 00:00:00.000,2018,​​​​​​Jun,​​Thu,2018 ​​​​​​Jun,2018Q2,201826,Y,-2065,-295,-68,-23,-6
2018-07-05 00:00:00.000,2018,​​​​​Jul,​​Thu,2018 ​​​​​Jul,2018Q3,201827,Y,-2058,-294,-67,-22,-6
2018-07-12 00:00:00.000,2018,​​​​​Jul,​​Thu,2018 ​​​​​Jul,2018Q3,201828,Y,-2051,-293,-67,-22,-6
2018-07-19 00:00:00.000,2018,​​​​​Jul,​​Thu,2018 ​​​​​Jul,2018Q3,201829,Y,-2044,-292,-67,-22,-6
2018-07-26 00:00:00.000,2018,​​​​​Jul,​​Thu,2018 ​​​​​Jul,2018Q3,201830,Y,-2037,-291,-67,-22,-6
2018-08-02 00:00:00.000,2018,​​​​Aug,​​Thu,2018 ​​​​Aug,2018Q3,201831,Y,-2030,-290,-66,-22,-6
2018-08-09 00:00:00.000,2018,​​​​Aug,​​Thu,2018 ​​​​Aug,2018Q3,201832,Y,-2023,-289,-66,-22,-6
2018-08-16 00:00:00.000,2018,​​​​Aug,​​Thu,2018 ​​​​Aug,2018Q3,201833,Y,-2016,-288,-66,-22,-6
2018-08-23 00:00:00.000,2018,​​​​Aug,​​Thu,2018 ​​​​Aug,2018Q3,201834,Y,-2009,-287,-66,-22,-6
2018-08-30 00:00:00.000,2018,​​​​Aug,​​Thu,2018 ​​​​Aug,2018Q3,201835,Y,-2002,-286,-66,-22,-6
2018-09-06 00:00:00.000,2018,​​​Sep,​​Thu,2018 ​​​Sep,2018Q3,201836,Y,-1995,-285,-65,-22,-6
2018-09-13 00:00:00.000,2018,​​​Sep,​​Thu,2018 ​​​Sep,2018Q3,201837,Y,-1988,-284,-65,-22,-6
2018-09-20 00:00:00.000,2018,​​​Sep,​​Thu,2018 ​​​Sep,2018Q3,201838,Y,-1981,-283,-65,-22,-6
2018-09-27 00:00:00.000,2018,​​​Sep,​​Thu,2018 ​​​Sep,2018Q3,201839,Y,-1974,-282,-65,-22,-6
2018-10-04 00:00:00.000,2018,​​Oct,​​Thu,2018 ​​Oct,2018Q4,201840,Y,-1967,-281,-64,-21,-6
2018-10-11 00:00:00.000,2018,​​Oct,​​Thu,2018 ​​Oct,2018Q4,201841,Y,-1960,-280,-64,-21,-6
2018-10-18 00:00:00.000,2018,​​Oct,​​Thu,2018 ​​Oct,2018Q4,201842,Y,-1953,-279,-64,-21,-6
2018-10-25 00:00:00.000,2018,​​Oct,​​Thu,2018 ​​Oct,2018Q4,201843,Y,-1946,-278,-64,-21,-6
2018-11-01 00:00:00.000,2018,​Nov,​​Thu,2018 ​Nov,2018Q4,201844,Y,-1939,-277,-63,-21,-6
2018-11-08 00:00:00.000,2018,​Nov,​​Thu,2018 ​Nov,2018Q4,201845,Y,-1932,-276,-63,-21,-6
2018-11-15 00:00:00.000,2018,​Nov,​​Thu,2018 ​Nov,2018Q4,201846,Y,-1925,-275,-63,-21,-6
2018-11-22 00:00:00.000,2018,​Nov,​​Thu,2018 ​Nov,2018Q4,201847,Y,-1918,-274,-63,-21,-6
2018-11-29 00:00:00.000,2018,​Nov,​​Thu,2018 ​Nov,2018Q4,201848,Y,-1911,-273,-63,-21,-6
2018-12-06 00:00:00.000,2018,Dec,​​Thu,2018 Dec,2018Q4,201849,Y,-1904,-272,-62,-21,-6
2018-12-13 00:00:00.000,2018,Dec,​​Thu,2018 Dec,2018Q4,201850,Y,-1897,-271,-62,-21,-6
2018-12-20 00:00:00.000,2018,Dec,​​Thu,2018 Dec,2018Q4,201851,Y,-1890,-270,-62,-21,-6
2018-12-27 00:00:00.000,2018,Dec,​​Thu,2018 Dec,2018Q4,201852,Y,-1883,-269,-62,-21,-6
2019-01-03 00:00:00.000,2019,​​​​​​​​​​​Jan,​​Thu,2019 ​​​​​​​​​​​Jan,2019Q1,201901,Y,-1876,-268,-61,-20,-5
2019-01-10 00:00:00.000,2019,​​​​​​​​​​​Jan,​​Thu,2019 ​​​​​​​​​​​Jan,2019Q1,201902,Y,-1869,-267,-61,-20,-5
2019-01-17 00:00:00.000,2019,​​​​​​​​​​​Jan,​​Thu,2019 ​​​​​​​​​​​Jan,2019Q1,201903,Y,-1862,-266,-61,-20,-5
2019-01-24 00:00:00.000,2019,​​​​​​​​​​​Jan,​​Thu,2019 ​​​​​​​​​​​Jan,2019Q1,201904,Y,-1855,-265,-61,-20,-5
2019-01-31 00:00:00.000,2019,​​​​​​​​​​​Jan,​​Thu,2019 ​​​​​​​​​​​Jan,2019Q1,201905,Y,-1848,-264,-61,-20,-5
2019-02-07 00:00:00.000,2019,​​​​​​​​​​Feb,​​Thu,2019 ​​​​​​​​​​Feb,2019Q1,201906,Y,-1841,-263,-60,-20,-5
2019-02-14 00:00:00.000,2019,​​​​​​​​​​Feb,​​Thu,2019 ​​​​​​​​​​Feb,2019Q1,201907,Y,-1834,-262,-60,-20,-5
2019-02-21 00:00:00.000,2019,​​​​​​​​​​Feb,​​Thu,2019 ​​​​​​​​​​Feb,2019Q1,201908,Y,-1827,-261,-60,-20,-5
2019-02-28 00:00:00.000,2019,​​​​​​​​​​Feb,​​Thu,2019 ​​​​​​​​​​Feb,2019Q1,201909,Y,-1820,-260,-60,-20,-5
2019-03-07 00:00:00.000,2019,​​​​​​​​​Mar,​​Thu,2019 ​​​​​​​​​Mar,2019Q1,201910,Y,-1813,-259,-59,-20,-5
2019-03-14 00:00:00.000,2019,​​​​​​​​​Mar,​​Thu,2019 ​​​​​​​​​Mar,2019Q1,201911,Y,-1806,-258,-59,-20,-5
2019-03-21 00:00:00.000,2019,​​​​​​​​​Mar,​​Thu,2019 ​​​​​​​​​Mar,2019Q1,201912,Y,-1799,-257,-59,-20,-5
2019-03-28 00:00:00.000,2019,​​​​​​​​​Mar,​​Thu,2019 ​​​​​​​​​Mar,2019Q1,201913,Y,-1792,-256,-59,-20,-5
2019-04-04 00:00:00.000,2019,​​​​​​​​Apr,​​Thu,2019 ​​​​​​​​Apr,2019Q2,201914,Y,-1785,-255,-58,-19,-5
2019-04-11 00:00:00.000,2019,​​​​​​​​Apr,​​Thu,2019 ​​​​​​​​Apr,2019Q2,201915,Y,-1778,-254,-58,-19,-5
2019-04-18 00:00:00.000,2019,​​​​​​​​Apr,​​Thu,2019 ​​​​​​​​Apr,2019Q2,201916,Y,-1771,-253,-58,-19,-5
2019-04-25 00:00:00.000,2019,​​​​​​​​Apr,​​Thu,2019 ​​​​​​​​Apr,2019Q2,201917,Y,-1764,-252,-58,-19,-5
2019-05-02 00:00:00.000,2019,​​​​​​​May,​​Thu,2019 ​​​​​​​May,2019Q2,201918,Y,-1757,-251,-57,-19,-5
2019-05-09 00:00:00.000,2019,​​​​​​​May,​​Thu,2019 ​​​​​​​May,2019Q2,201919,Y,-1750,-250,-57,-19,-5
2019-05-16 00:00:00.000,2019,​​​​​​​May,​​Thu,2019 ​​​​​​​May,2019Q2,201920,Y,-1743,-249,-57,-19,-5
2019-05-23 00:00:00.000,2019,​​​​​​​May,​​Thu,2019 ​​​​​​​May,2019Q2,201921,Y,-1736,-248,-57,-19,-5
2019-05-30 00:00:00.000,2019,​​​​​​​May,​​Thu,2019 ​​​​​​​May,2019Q2,201922,Y,-1729,-247,-57,-19,-5
2019-06-06 00:00:00.000,2019,​​​​​​Jun,​​Thu,2019 ​​​​​​Jun,2019Q2,201923,Y,-1722,-246,-56,-19,-5
2019-06-13 00:00:00.000,2019,​​​​​​Jun,​​Thu,2019 ​​​​​​Jun,2019Q2,201924,Y,-1715,-245,-56,-19,-5
2019-06-20 00:00:00.000,2019,​​​​​​Jun,​​Thu,2019 ​​​​​​Jun,2019Q2,201925,Y,-1708,-244,-56,-19,-5
2019-06-27 00:00:00.000,2019,​​​​​​Jun,​​Thu,2019 ​​​​​​Jun,2019Q2,201926,Y,-1701,-243,-56,-19,-5
2019-07-04 00:00:00.000,2019,​​​​​Jul,​​Thu,2019 ​​​​​Jul,2019Q3,201927,Y,-1694,-242,-55,-18,-5
2019-07-11 00:00:00.000,2019,​​​​​Jul,​​Thu,2019 ​​​​​Jul,2019Q3,201928,Y,-1687,-241,-55,-18,-5
2019-07-18 00:00:00.000,2019,​​​​​Jul,​​Thu,2019 ​​​​​Jul,2019Q3,201929,Y,-1680,-240,-55,-18,-5
2019-07-25 00:00:00.000,2019,​​​​​Jul,​​Thu,2019 ​​​​​Jul,2019Q3,201930,Y,-1673,-239,-55,-18,-5
2019-08-01 00:00:00.000,2019,​​​​Aug,​​Thu,2019 ​​​​Aug,2019Q3,201931,Y,-1666,-238,-54,-18,-5
2019-08-08 00:00:00.000,2019,​​​​Aug,​​Thu,2019 ​​​​Aug,2019Q3,201932,Y,-1659,-237,-54,-18,-5
2019-08-15 00:00:00.000,2019,​​​​Aug,​​Thu,2019 ​​​​Aug,2019Q3,201933,Y,-1652,-236,-54,-18,-5
2019-08-22 00:00:00.000,2019,​​​​Aug,​​Thu,2019 ​​​​Aug,2019Q3,201934,Y,-1645,-235,-54,-18,-5
2019-08-29 00:00:00.000,2019,​​​​Aug,​​Thu,2019 ​​​​Aug,2019Q3,201935,Y,-1638,-234,-54,-18,-5
2019-09-05 00:00:00.000,2019,​​​Sep,​​Thu,2019 ​​​Sep,2019Q3,201936,Y,-1631,-233,-53,-18,-5
2019-09-12 00:00:00.000,2019,​​​Sep,​​Thu,2019 ​​​Sep,2019Q3,201937,Y,-1624,-232,-53,-18,-5
2019-09-19 00:00:00.000,2019,​​​Sep,​​Thu,2019 ​​​Sep,2019Q3,201938,Y,-1617,-231,-53,-18,-5
2019-09-26 00:00:00.000,2019,​​​Sep,​​Thu,2019 ​​​Sep,2019Q3,201939,Y,-1610,-230,-53,-18,-5
2019-10-03 00:00:00.000,2019,​​Oct,​​Thu,2019 ​​Oct,2019Q4,201940,Y,-1603,-229,-52,-17,-5
2019-10-10 00:00:00.000,2019,​​Oct,​​Thu,2019 ​​Oct,2019Q4,201941,Y,-1596,-228,-52,-17,-5
2019-10-17 00:00:00.000,2019,​​Oct,​​Thu,2019 ​​Oct,2019Q4,201942,Y,-1589,-227,-52,-17,-5
2019-10-24 00:00:00.000,2019,​​Oct,​​Thu,2019 ​​Oct,2019Q4,201943,Y,-1582,-226,-52,-17,-5
2019-10-31 00:00:00.000,2019,​​Oct,​​Thu,2019 ​​Oct,2019Q4,201944,Y,-1575,-225,-52,-17,-5
2019-11-07 00:00:00.000,2019,​Nov,​​Thu,2019 ​Nov,2019Q4,201945,Y,-1568,-224,-51,-17,-5
2019-11-14 00:00:00.000,2019,​Nov,​​Thu,2019 ​Nov,2019Q4,201946,Y,-1561,-223,-51,-17,-5
2019-11-21 00:00:00.000,2019,​Nov,​​Thu,2019 ​Nov,2019Q4,201947,Y,-1554,-222,-51,-17,-5
2019-11-28 00:00:00.000,2019,​Nov,​​Thu,2019 ​Nov,2019Q4,201948,Y,-1547,-221,-51,-17,-5
2019-12-05 00:00:00.000,2019,Dec,​​Thu,2019 Dec,2019Q4,201949,Y,-1540,-220,-50,-17,-5
2019-12-12 00:00:00.000,2019,Dec,​​Thu,2019 Dec,2019Q4,201950,Y,-1533,-219,-50,-17,-5
2019-12-19 00:00:00.000,2019,Dec,​​Thu,2019 Dec,2019Q4,201951,Y,-1526,-218,-50,-17,-5
2019-12-26 00:00:00.000,2019,Dec,​​Thu,2019 Dec,2019Q4,201952,Y,-1519,-217,-50,-17,-5
2020-01-02 00:00:00.000,2020,​​​​​​​​​​​Jan,​​Thu,2020 ​​​​​​​​​​​Jan,2020Q1,202001,Y,-1512,-216,-49,-16,-4
2020-01-09 00:00:00.000,2020,​​​​​​​​​​​Jan,​​Thu,2020 ​​​​​​​​​​​Jan,2020Q1,202002,Y,-1505,-215,-49,-16,-4
2020-01-16 00:00:00.000,2020,​​​​​​​​​​​Jan,​​Thu,2020 ​​​​​​​​​​​Jan,2020Q1,202003,Y,-1498,-214,-49,-16,-4
2020-01-23 00:00:00.000,2020,​​​​​​​​​​​Jan,​​Thu,2020 ​​​​​​​​​​​Jan,2020Q1,202004,Y,-1491,-213,-49,-16,-4
2020-01-30 00:00:00.000,2020,​​​​​​​​​​​Jan,​​Thu,2020 ​​​​​​​​​​​Jan,2020Q1,202005,Y,-1484,-212,-49,-16,-4
2020-02-06 00:00:00.000,2020,​​​​​​​​​​Feb,​​Thu,2020 ​​​​​​​​​​Feb,2020Q1,202006,Y,-1477,-211,-48,-16,-4
2020-02-13 00:00:00.000,2020,​​​​​​​​​​Feb,​​Thu,2020 ​​​​​​​​​​Feb,2020Q1,202007,Y,-1470,-210,-48,-16,-4
2020-02-20 00:00:00.000,2020,​​​​​​​​​​Feb,​​Thu,2020 ​​​​​​​​​​Feb,2020Q1,202008,Y,-1463,-209,-48,-16,-4
2020-02-27 00:00:00.000,2020,​​​​​​​​​​Feb,​​Thu,2020 ​​​​​​​​​​Feb,2020Q1,202009,Y,-1456,-208,-48,-16,-4
2020-03-05 00:00:00.000,2020,​​​​​​​​​Mar,​​Thu,2020 ​​​​​​​​​Mar,2020Q1,202010,Y,-1449,-207,-47,-16,-4
2020-03-12 00:00:00.000,2020,​​​​​​​​​Mar,​​Thu,2020 ​​​​​​​​​Mar,2020Q1,202011,Y,-1442,-206,-47,-16,-4
2020-03-19 00:00:00.000,2020,​​​​​​​​​Mar,​​Thu,2020 ​​​​​​​​​Mar,2020Q1,202012,Y,-1435,-205,-47,-16,-4
2020-03-26 00:00:00.000,2020,​​​​​​​​​Mar,​​Thu,2020 ​​​​​​​​​Mar,2020Q1,202013,Y,-1428,-204,-47,-16,-4
2020-04-02 00:00:00.000,2020,​​​​​​​​Apr,​​Thu,2020 ​​​​​​​​Apr,2020Q2,202014,Y,-1421,-203,-46,-15,-4
2020-04-09 00:00:00.000,2020,​​​​​​​​Apr,​​Thu,2020 ​​​​​​​​Apr,2020Q2,202015,Y,-1414,-202,-46,-15,-4
2020-04-16 00:00:00.000,2020,​​​​​​​​Apr,​​Thu,2020 ​​​​​​​​Apr,2020Q2,202016,Y,-1407,-201,-46,-15,-4
2020-04-23 00:00:00.000,2020,​​​​​​​​Apr,​​Thu,2020 ​​​​​​​​Apr,2020Q2,202017,Y,-1400,-200,-46,-15,-4
2020-04-30 00:00:00.000,2020,​​​​​​​​Apr,​​Thu,2020 ​​​​​​​​Apr,2020Q2,202018,Y,-1393,-199,-46,-15,-4
2020-05-07 00:00:00.000,2020,​​​​​​​May,​​Thu,2020 ​​​​​​​May,2020Q2,202019,Y,-1386,-198,-45,-15,-4
2020-05-14 00:00:00.000,2020,​​​​​​​May,​​Thu,2020 ​​​​​​​May,2020Q2,202020,Y,-1379,-197,-45,-15,-4
2020-05-21 00:00:00.000,2020,​​​​​​​May,​​Thu,2020 ​​​​​​​May,2020Q2,202021,Y,-1372,-196,-45,-15,-4
2020-05-28 00:00:00.000,2020,​​​​​​​May,​​Thu,2020 ​​​​​​​May,2020Q2,202022,Y,-1365,-195,-45,-15,-4
2020-06-04 00:00:00.000,2020,​​​​​​Jun,​​Thu,2020 ​​​​​​Jun,2020Q2,202023,Y,-1358,-194,-44,-15,-4
2020-06-11 00:00:00.000,2020,​​​​​​Jun,​​Thu,2020 ​​​​​​Jun,2020Q2,202024,Y,-1351,-193,-44,-15,-4
2020-06-18 00:00:00.000,2020,​​​​​​Jun,​​Thu,2020 ​​​​​​Jun,2020Q2,202025,Y,-1344,-192,-44,-15,-4
2020-06-25 00:00:00.000,2020,​​​​​​Jun,​​Thu,2020 ​​​​​​Jun,2020Q2,202026,Y,-1337,-191,-44,-15,-4
2020-07-02 00:00:00.000,2020,​​​​​Jul,​​Thu,2020 ​​​​​Jul,2020Q3,202027,Y,-1330,-190,-43,-14,-4
2020-07-09 00:00:00.000,2020,​​​​​Jul,​​Thu,2020 ​​​​​Jul,2020Q3,202028,Y,-1323,-189,-43,-14,-4
2020-07-16 00:00:00.000,2020,​​​​​Jul,​​Thu,2020 ​​​​​Jul,2020Q3,202029,Y,-1316,-188,-43,-14,-4
2020-07-23 00:00:00.000,2020,​​​​​Jul,​​Thu,2020 ​​​​​Jul,2020Q3,202030,Y,-1309,-187,-43,-14,-4
2020-07-30 00:00:00.000,2020,​​​​​Jul,​​Thu,2020 ​​​​​Jul,2020Q3,202031,Y,-1302,-186,-43,-14,-4
2020-08-06 00:00:00.000,2020,​​​​Aug,​​Thu,2020 ​​​​Aug,2020Q3,202032,Y,-1295,-185,-42,-14,-4
2020-08-13 00:00:00.000,2020,​​​​Aug,​​Thu,2020 ​​​​Aug,2020Q3,202033,Y,-1288,-184,-42,-14,-4
2020-08-20 00:00:00.000,2020,​​​​Aug,​​Thu,2020 ​​​​Aug,2020Q3,202034,Y,-1281,-183,-42,-14,-4
2020-08-27 00:00:00.000,2020,​​​​Aug,​​Thu,2020 ​​​​Aug,2020Q3,202035,Y,-1274,-182,-42,-14,-4
2020-09-03 00:00:00.000,2020,​​​Sep,​​Thu,2020 ​​​Sep,2020Q3,202036,Y,-1267,-181,-41,-14,-4
2020-09-10 00:00:00.000,2020,​​​Sep,​​Thu,2020 ​​​Sep,2020Q3,202037,Y,-1260,-180,-41,-14,-4
2020-09-17 00:00:00.000,2020,​​​Sep,​​Thu,2020 ​​​Sep,2020Q3,202038,Y,-1253,-179,-41,-14,-4
2020-09-24 00:00:00.000,2020,​​​Sep,​​Thu,2020 ​​​Sep,2020Q3,202039,Y,-1246,-178,-41,-14,-4
2020-10-01 00:00:00.000,2020,​​Oct,​​Thu,2020 ​​Oct,2020Q4,202040,Y,-1239,-177,-40,-13,-4
2020-10-08 00:00:00.000,2020,​​Oct,​​Thu,2020 ​​Oct,2020Q4,202041,Y,-1232,-176,-40,-13,-4
2020-10-15 00:00:00.000,2020,​​Oct,​​Thu,2020 ​​Oct,2020Q4,202042,Y,-1225,-175,-40,-13,-4
2020-10-22 00:00:00.000,2020,​​Oct,​​Thu,2020 ​​Oct,2020Q4,202043,Y,-1218,-174,-40,-13,-4
2020-10-29 00:00:00.000,2020,​​Oct,​​Thu,2020 ​​Oct,2020Q4,202044,Y,-1211,-173,-40,-13,-4
2020-11-05 00:00:00.000,2020,​Nov,​​Thu,2020 ​Nov,2020Q4,202045,Y,-1204,-172,-39,-13,-4
2020-11-12 00:00:00.000,2020,​Nov,​​Thu,2020 ​Nov,2020Q4,202046,Y,-1197,-171,-39,-13,-4
2020-11-19 00:00:00.000,2020,​Nov,​​Thu,2020 ​Nov,2020Q4,202047,Y,-1190,-170,-39,-13,-4
2020-11-26 00:00:00.000,2020,​Nov,​​Thu,2020 ​Nov,2020Q4,202048,Y,-1183,-169,-39,-13,-4
2020-12-03 00:00:00.000,2020,Dec,​​Thu,2020 Dec,2020Q4,202049,Y,-1176,-168,-38,-13,-4
2020-12-10 00:00:00.000,2020,Dec,​​Thu,2020 Dec,2020Q4,202050,Y,-1169,-167,-38,-13,-4
2020-12-17 00:00:00.000,2020,Dec,​​Thu,2020 Dec,2020Q4,202051,Y,-1162,-166,-38,-13,-4
2020-12-24 00:00:00.000,2020,Dec,​​Thu,2020 Dec,2020Q4,202052,Y,-1155,-165,-38,-13,-4
