Category,Subcategory,Color,ProductID,Launch,Product,UnitCost,UnitPrice,Discontinue
"Computers","Laptops","Black",392,2014-04-01 00:00:00.000,"WWI Laptop12 M0120 Black",195.24,382.95,2037-03-05 00:00:00.000
"Computers","Laptops","Black",393,2010-04-29 00:00:00.000,"WWI Laptop16 M0160 Black",275.46,599,2013-11-27 00:00:00.000
"Computers","Laptops","Black",394,2014-08-13 00:00:00.000,"WWI Laptop15.4W M0156 Black",348.58,758,2026-03-26 00:00:00.000
"Computers","Laptops","Black",395,2010-09-11 00:00:00.000,"WWI Laptop8.9 E0089 Black",166.2,326,2030-05-06 00:00:00.000
"Computers","Laptops","Black",404,2016-06-16 00:00:00.000,"Proseware Laptop19 X910 Black",430.38,1299,2026-04-09 00:00:00.000
"Computers","Laptops","Black",405,2012-07-14 00:00:00.000,"Proseware Laptop15 M510 Black",321.44,699,2030-05-20 00:00:00.000
"Computers","Laptops","Black",406,2016-10-29 00:00:00.000,"Proseware Laptop12 M210 Black",195.24,382.95,2042-09-16 00:00:00.000
"Computers","Laptops","Black",407,2012-11-26 00:00:00.000,"Proseware Laptop16 M610 Black",275.46,599,2019-06-10 00:00:00.000
"Computers","Laptops","Black",408,2017-03-12 00:00:00.000,"Proseware Laptop15.4W M518 Black",348.58,758,2031-10-06 00:00:00.000
"Computers","Laptops","Black",409,2013-04-10 00:00:00.000,"Proseware Laptop8.9 E089 Black",166.2,326,2035-11-16 00:00:00.000
"Computers","Desktops","Black",422,2011-07-24 00:00:00.000,"Adventure Works Desktop PC2.33 XD233 Black",321.05,969,2029-01-30 00:00:00.000
"Computers","Desktops","Black",423,2015-11-07 00:00:00.000,"Adventure Works Desktop PC2.30 MD230 Black",275.46,599,2041-05-28 00:00:00.000
"Computers","Desktops","Black",424,2011-12-06 00:00:00.000,"Adventure Works Desktop PC1.60 ED160 Black",137.63,269.95,2018-02-20 00:00:00.000
"Computers","Desktops","Black",425,2016-03-21 00:00:00.000,"Adventure Works Desktop PC1.80 ED180 Black",188.13,369,2030-06-18 00:00:00.000
"Computers","Desktops","Black",426,2012-04-18 00:00:00.000,"Adventure Works Desktop PC1.80 ED182 Black",254.86,499.9,2034-07-29 00:00:00.000
"Computers","Desktops","Black",427,2016-08-03 00:00:00.000,"Adventure Works Desktop PC3.0 MS300 Black",215.68,469,2019-07-10 00:00:00.000
"Computers","Desktops","Black",444,2015-08-12 00:00:00.000,"WWI Desktop PC2.33 X2330 Black",304.48,919,2018-03-21 00:00:00.000
"Computers","Desktops","Black",445,2011-09-10 00:00:00.000,"WWI Desktop PC2.30 M2300 Black",257.06,559,2022-05-01 00:00:00.000
"Computers","Desktops","Black",446,2015-12-25 00:00:00.000,"WWI Desktop PC1.60 E1600 Black",112.14,219.95,2034-08-27 00:00:00.000
"Computers","Desktops","Black",447,2012-01-22 00:00:00.000,"WWI Desktop PC1.80 E1800 Black",117.21,229.9,2038-10-06 00:00:00.000
"Computers","Desktops","Black",448,2016-05-07 00:00:00.000,"WWI Desktop PC1.80 E1801 Black",137.6,269.9,2023-09-17 00:00:00.000
"Computers","Desktops","Black",449,2012-06-05 00:00:00.000,"WWI Desktop PC3.0 M0300 Black",160.49,349,2027-10-28 00:00:00.000
"Computers","Monitors","Black",461,2014-08-21 00:00:00.000,"Proseware LCD24 X300 Black",271.35,819,2016-12-01 00:00:00.000
"Computers","Monitors","Black",462,2010-09-18 00:00:00.000,"Proseware LCD24W X300 Black",287.92,869,2021-01-10 00:00:00.000
"Computers","Monitors","Black",463,2015-01-02 00:00:00.000,"Proseware LCD22 M2000 Black",205.09,619,2033-05-08 00:00:00.000
"Computers","Monitors","Black",464,2011-01-31 00:00:00.000,"Proseware LCD22W M2001 Black",224.97,679,2037-06-19 00:00:00.000
"Computers","Monitors","Black",465,2015-05-17 00:00:00.000,"Proseware LCD20 M200 Black",119.11,259,2022-05-30 00:00:00.000
"Computers","Monitors","Black",466,2011-06-14 00:00:00.000,"Proseware LCD20W M230 Black",128.3,279,2026-07-09 00:00:00.000
"Computers","Monitors","Black",467,2015-09-29 00:00:00.000,"Proseware LCD19 E1000 Black",63.92,139,2038-11-05 00:00:00.000
"Computers","Monitors","Black",468,2011-10-27 00:00:00.000,"Proseware LCD19W M100 Black",82.32,179,2015-07-30 00:00:00.000
"Computers","Monitors","Black",469,2016-02-10 00:00:00.000,"Proseware LCD17 E200 Black",50.47,99,2027-11-26 00:00:00.000
"Computers","Monitors","Black",470,2012-03-09 00:00:00.000,"Proseware LCD17W E202 Black",65.77,129,2032-01-05 00:00:00.000
"Computers","Monitors","Black",471,2016-06-24 00:00:00.000,"Proseware LCD15 E103 Black",50.47,99,2016-12-16 00:00:00.000
"Computers","Monitors","Black",472,2012-07-22 00:00:00.000,"Proseware CRT19 E201 Black",35.18,69,2021-01-25 00:00:00.000
"Computers","Monitors","Black",473,2016-11-05 00:00:00.000,"Proseware CRT17 E104 Black",30.08,59,2033-05-23 00:00:00.000
"Computers","Monitors","Black",474,2012-12-04 00:00:00.000,"Proseware CRT15 E10 Black",24.98,49,2037-07-04 00:00:00.000
"Computers","Monitors","Black",489,2011-08-01 00:00:00.000,"Adventure Works LCD24 X300 Black",271.35,819,2019-10-08 00:00:00.000
"Computers","Monitors","Black",490,2015-11-15 00:00:00.000,"Adventure Works LCD24W X300 Black",287.92,869,2032-02-03 00:00:00.000
"Computers","Monitors","Black",491,2011-12-13 00:00:00.000,"Adventure Works LCD22 M200 Black",205.09,619,2036-03-15 00:00:00.000
"Computers","Monitors","Black",492,2016-03-28 00:00:00.000,"Adventure Works LCD22W M200 Black",224.97,679,2021-02-23 00:00:00.000
"Computers","Monitors","Black",493,2012-04-26 00:00:00.000,"Adventure Works LCD20 M210 Black",119.11,259,2025-04-05 00:00:00.000
"Computers","Monitors","Black",494,2016-08-10 00:00:00.000,"Adventure Works LCD20W M240 Black",128.3,279,2037-08-01 00:00:00.000
"Computers","Monitors","Black",495,2012-09-07 00:00:00.000,"Adventure Works LCD19 E108 Black",70.87,139,2014-04-25 00:00:00.000
"Computers","Monitors","Black",496,2016-12-23 00:00:00.000,"Adventure Works LCD19W M100 Black",82.32,179,2026-08-23 00:00:00.000
"Computers","Monitors","Black",497,2013-01-20 00:00:00.000,"Adventure Works LCD17 E200 Black",50.47,99,2030-10-02 00:00:00.000
"Computers","Monitors","Black",498,2017-05-06 00:00:00.000,"Adventure Works LCD17W E203 Black",65.77,129,2043-01-28 00:00:00.000
"Computers","Monitors","Black",499,2013-06-03 00:00:00.000,"Adventure Works LCD15 E100 Black",50.47,99,2019-10-22 00:00:00.000
"Computers","Monitors","Black",500,2017-09-18 00:00:00.000,"Adventure Works CRT19 E10 Black",22.86,69,2032-02-18 00:00:00.000
"Computers","Monitors","Black",501,2013-10-16 00:00:00.000,"Adventure Works CRT17 E105 Black",30.08,59,2036-03-30 00:00:00.000
"Computers","Monitors","Black",502,2018-01-30 00:00:00.000,"Adventure Works CRT15 E101 Black",29.82,90,2021-03-10 00:00:00.000
"Computers","Monitors","Black",517,2016-09-26 00:00:00.000,"WWI LCD24 X300 Black",271.35,819,2030-10-31 00:00:00.000
"Computers","Monitors","Black",518,2012-10-25 00:00:00.000,"WWI LCD24W X300 Black",287.92,869,2034-12-11 00:00:00.000
"Computers","Monitors","Black",519,2017-02-08 00:00:00.000,"WWI LCD22 M2002 Black",205.09,619,2019-11-21 00:00:00.000
"Computers","Monitors","Black",520,2013-03-08 00:00:00.000,"WWI LCD22W M2003 Black",224.97,679,2023-12-31 00:00:00.000
"Computers","Monitors","Black",521,2017-06-22 00:00:00.000,"WWI LCD20 M220 Black",119.11,259,2036-04-27 00:00:00.000
"Computers","Monitors","Black",522,2013-07-21 00:00:00.000,"WWI LCD20W M250 Black",128.3,279,2040-06-07 00:00:00.000
"Computers","Monitors","Black",523,2017-11-04 00:00:00.000,"WWI LCD19 E107 Black",70.87,139,2025-05-19 00:00:00.000
"Computers","Monitors","Black",524,2013-12-02 00:00:00.000,"WWI LCD19W M100 Black",82.32,179,2029-06-28 00:00:00.000
"Computers","Monitors","Black",525,2018-03-19 00:00:00.000,"WWI LCD17 E200 Black",50.47,99,2041-10-25 00:00:00.000
"Computers","Monitors","Black",526,2014-04-16 00:00:00.000,"WWI LCD17W E200 Black",65.77,129,2018-07-19 00:00:00.000
"Computers","Monitors","Black",527,2010-05-14 00:00:00.000,"WWI CRT17 E106 Black",50.47,99,2022-08-28 00:00:00.000
"Computers","Projectors & Screens","Black",539,2012-07-29 00:00:00.000,"Proseware Projector 1080p LCD86 Black",760.38,2295,2039-02-18 00:00:00.000
"Computers","Projectors & Screens","Black",540,2016-11-13 00:00:00.000,"Proseware Projector 1080p DLP86 Black",827.97,2499,2024-01-30 00:00:00.000
"Computers","Projectors & Screens","Black",541,2012-12-11 00:00:00.000,"Proseware Projector 720p LCD56 Black",321.44,699,2028-03-10 00:00:00.000
"Computers","Projectors & Screens","Black",542,2017-03-27 00:00:00.000,"Proseware Projector 720p DLP56 Black",459.4,999,2040-07-06 00:00:00.000
"Computers","Projectors & Screens","Black",543,2013-04-25 00:00:00.000,"Proseware Projector 480p LCD12 Black",116.75,229,2017-03-31 00:00:00.000
"Computers","Projectors & Screens","Black",544,2017-08-09 00:00:00.000,"Proseware Projector 480p DLP12 Black",254.4,499,2029-07-28 00:00:00.000
"Computers","Projectors & Screens","Black",545,2013-09-06 00:00:00.000,"Proseware Screen 125in X1609 Black",152.08,459,2033-09-06 00:00:00.000
"Computers","Projectors & Screens","Black",546,2017-12-21 00:00:00.000,"Proseware Screen 113in X1609 Black",99.06,299,2018-08-17 00:00:00.000
"Computers","Projectors & Screens","Black",547,2014-01-19 00:00:00.000,"Proseware Screen 106in M1609 Black",115.43,251,2022-09-27 00:00:00.000
"Computers","Projectors & Screens","Black",548,2010-02-16 00:00:00.000,"Proseware Screen 100in M1609 Black",87.37,190,2026-11-06 00:00:00.000
"Computers","Projectors & Screens","Black",549,2014-06-02 00:00:00.000,"Proseware Screen 85in E1010 Black",70.87,139,2039-03-04 00:00:00.000
"Computers","Projectors & Screens","Black",550,2010-06-30 00:00:00.000,"Proseware Screen 80in E1010 Black",55.57,109,2015-11-27 00:00:00.000
"Computers","Projectors & Screens","Black",575,2010-12-29 00:00:00.000,"Contoso Projector 1080p X980 Black",760.38,2295,2025-08-02 00:00:00.000
"Computers","Projectors & Screens","Black",576,2015-04-15 00:00:00.000,"Contoso Projector 1080p X981 Black",827.97,2499,2037-11-29 00:00:00.000
"Computers","Projectors & Screens","Black",577,2011-05-13 00:00:00.000,"Contoso Projector 720p M620 Black",321.44,699,2014-08-24 00:00:00.000
"Computers","Projectors & Screens","Black",578,2015-08-27 00:00:00.000,"Contoso Projector 720p M621 Black",459.4,999,2026-12-20 00:00:00.000
"Computers","Projectors & Screens","Black",579,2011-09-25 00:00:00.000,"Contoso Projector 480p M480 Black",116.75,229,2031-01-30 00:00:00.000
"Computers","Projectors & Screens","Black",580,2016-01-09 00:00:00.000,"Contoso Projector 480p M481 Black",254.4,499,2016-01-10 00:00:00.000
"Computers","Projectors & Screens","Black",581,2012-02-06 00:00:00.000,"Contoso Screen 125in M250 Black",152.08,459,2020-02-19 00:00:00.000
"Computers","Projectors & Screens","Black",582,2016-05-22 00:00:00.000,"Contoso Screen 113in M251 Black",137.5,299,2032-06-17 00:00:00.000
"Computers","Projectors & Screens","Black",583,2012-06-20 00:00:00.000,"Contoso Screen 106in M060 Black",83.16,251,2036-07-28 00:00:00.000
"Computers","Projectors & Screens","Black",584,2016-10-04 00:00:00.000,"Contoso Screen 100in E010 Black",62.95,190,2021-07-08 00:00:00.000
"Computers","Projectors & Screens","Black",585,2012-11-01 00:00:00.000,"Contoso Screen 85in E085 Black",70.87,139,2025-08-17 00:00:00.000
"Computers","Projectors & Screens","Black",586,2017-02-15 00:00:00.000,"Contoso Screen 80in E080 Black",55.57,109,2037-12-13 00:00:00.000
"Computers","Projectors & Screens","Black",611,2017-08-16 00:00:00.000,"WWI Projector 1080p LCD86 Black",760.38,2295,2020-04-03 00:00:00.000
"Computers","Projectors & Screens","Black",612,2013-09-14 00:00:00.000,"WWI Projector 1080p DLP86 Black",827.97,2499,2024-05-14 00:00:00.000
"Computers","Projectors & Screens","Black",613,2017-12-29 00:00:00.000,"WWI Projector 720p LCD56 Black",321.44,699,2036-09-09 00:00:00.000
"Computers","Projectors & Screens","Black",614,2014-01-26 00:00:00.000,"WWI Projector 720p DLP56 Black",459.4,999,2040-10-20 00:00:00.000
"Computers","Projectors & Screens","Black",615,2010-02-23 00:00:00.000,"WWI Projector 480p LCD12 Black",116.75,229,2017-07-14 00:00:00.000
"Computers","Projectors & Screens","Black",616,2014-06-10 00:00:00.000,"WWI Projector 480p DLP12 Black",254.4,499,2029-11-10 00:00:00.000
"Computers","Projectors & Screens","Black",617,2010-07-08 00:00:00.000,"WWI Screen 125in M1611 Black",152.08,459,2033-12-20 00:00:00.000
"Computers","Projectors & Screens","Black",618,2014-10-22 00:00:00.000,"WWI Screen 113in M1610 Black",99.06,299,2018-11-30 00:00:00.000
"Computers","Projectors & Screens","Black",619,2010-11-20 00:00:00.000,"WWI Screen 106in M1609 Black",115.43,251,2023-01-10 00:00:00.000
"Computers","Projectors & Screens","Black",620,2015-03-06 00:00:00.000,"WWI Screen 100in M1609 Black",87.37,190,2035-05-09 00:00:00.000
"Computers","Projectors & Screens","Black",621,2011-04-03 00:00:00.000,"WWI Screen 85in E1010 Black",70.87,139,2012-01-31 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",642,2011-01-06 00:00:00.000,"Proseware Photo Ink Jet Printer M100 Black",73.12,159,2016-04-10 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",643,2015-04-22 00:00:00.000,"Proseware Ink Jet All in one M300 Black",77.72,169,2028-08-06 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",644,2011-05-20 00:00:00.000,"Proseware Laser Jet Printer E100 Black",40.28,79,2032-09-15 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",645,2015-09-04 00:00:00.000,"Proseware Laser Jet Color Printer X300 Black",69.25,209,2017-08-27 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",646,2011-10-02 00:00:00.000,"Proseware Laser Jet All in one X300 Black",72.56,219,2021-10-07 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",647,2016-01-16 00:00:00.000,"Proseware Fax phone E100 Black",44.36,87,2034-02-02 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",648,2012-02-14 00:00:00.000,"Proseware Fax Machine E100 Black",40.28,79,2038-03-15 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",649,2016-05-30 00:00:00.000,"Proseware Laser Fax Printer E100 Black",46.39,91,2023-02-23 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",650,2012-06-27 00:00:00.000,"Proseware Ink Jet Fax Machine E100 Black",39.77,78,2027-04-04 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",651,2016-10-11 00:00:00.000,"Proseware Mobile Receipt and Document Scanner M200 Black",53.34,116,2039-07-31 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",652,2012-11-09 00:00:00.000,"Proseware Scan Jet Digital Flat Bed Scanner M300 Black",55.64,121,2016-04-25 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",653,2017-02-23 00:00:00.000,"Proseware All-In-One Photo Printer M200 Black",62.54,136,2028-08-21 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",654,2013-03-23 00:00:00.000,"Proseware Ink Jet Wireless All-In-One Printer M400 Black",59.32,129,2032-09-30 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",655,2017-07-07 00:00:00.000,"Proseware Ink Jet Instant PDF Sheet-Fed Scanner M300 Black",73.58,160,2017-09-10 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",656,2013-08-05 00:00:00.000,"Proseware Desk Jet All-in-One Printer, Scanner, Copier M350 Black",72.66,158,2021-10-21 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",657,2017-11-19 00:00:00.000,"Proseware Duplex Scanner M200 Black",68.52,149,2034-02-17 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",658,2013-12-17 00:00:00.000,"Proseware High Speed Laser M2000 Black",69.25,209,2038-03-29 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",659,2010-01-15 00:00:00.000,"Proseware Laser Fax Printer M250 Black",54.26,118,2014-12-22 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",660,2014-05-01 00:00:00.000,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black",73.12,159,2027-04-19 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",661,2010-05-29 00:00:00.000,"Proseware Color Inkjet Fax with 5.8 GHz Cordless Handset X250 Black",75.54,228,2031-05-29 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",662,2014-09-12 00:00:00.000,"Proseware Slim-Design Fax Machine with Answering System X180 Black",78.19,236,2016-05-09 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",663,2010-10-11 00:00:00.000,"Proseware High-Performance Business-Class Laser Fax X200 Black",82.17,248,2020-06-19 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",664,2015-01-25 00:00:00.000,"Proseware Professional Quality Plain-Paper Fax and Copier X100 Black",75.87,229,2032-10-15 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",665,2011-02-22 00:00:00.000,"Proseware Photo Inkjet Printer E290 Black",52,102,2036-11-24 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",666,2015-06-09 00:00:00.000,"Proseware Office Jet All-in-One Printer M500 Black",74.96,163,2021-11-05 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",667,2011-07-07 00:00:00.000,"Proseware Office Jet Wireless All-in-One Inkjet Printer M600 Black",87.37,190,2025-12-15 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",668,2015-10-21 00:00:00.000,"Proseware Photo smart All-in-One Printer M380 Black",67.6,147,2038-04-13 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",669,2011-11-18 00:00:00.000,"Proseware Wireless Photo All-in-One Printer M390 Black",86.45,188,2015-01-05 00:00:00.000
"Computers","Printers, Scanners & Fax","Black",670,2016-03-04 00:00:00.000,"Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 Black",90.13,196,2027-05-04 00:00:00.000
"Computers","Computers Accessories","Black",743,2017-04-19 00:00:00.000,"Contoso Rechargeable Battery E100 Black",6.6,12.95,2039-12-14 00:00:00.000
"Computers","Computers Accessories","Black",744,2013-05-17 00:00:00.000,"Contoso Dual USB Power Adapter - power adapter E300 Black",20.34,39.9,2016-09-06 00:00:00.000
"Computers","Computers Accessories","Black",745,2017-08-31 00:00:00.000,"Contoso Car power adapter M90 Black",9.17,19.95,2029-01-02 00:00:00.000
"Computers","Computers Accessories","Black",746,2013-09-29 00:00:00.000,"Contoso Notebook Peripheral Kit M69 Black",7.59,16.5,2033-02-12 00:00:00.000
"Computers","Computers Accessories","Black",747,2018-01-13 00:00:00.000,"Contoso Mouse Lock Bundle E200 Black",6.6,12.95,2018-01-23 00:00:00.000
"Computers","Computers Accessories","Black",748,2014-02-10 00:00:00.000,"Contoso Education Supplies Bundle E200 Black",6.88,13.5,2022-03-05 00:00:00.000
"Computers","Computers Accessories","Black",749,2010-03-10 00:00:00.000,"Contoso Laptop Starter Bundle M200 Black",7.59,16.5,2026-04-14 00:00:00.000
"Computers","Computers Accessories","Black",750,2014-06-25 00:00:00.000,"Contoso Education Essentials Bundle M300 Black",4.37,9.5,2038-08-11 00:00:00.000
"Computers","Computers Accessories","Black",751,2010-07-23 00:00:00.000,"Contoso Desktop Alternative Bundle E200 Black",5.86,11.5,2015-05-05 00:00:00.000
"Computers","Computers Accessories","Black",752,2014-11-06 00:00:00.000,"Contoso Power Inverter - DC to AC power inverter E900 Black",4.84,9.5,2027-08-31 00:00:00.000
"Computers","Computers Accessories","Black",753,2010-12-05 00:00:00.000,"Contoso Smart Battery M901 Black",5.29,11.5,2031-10-11 00:00:00.000
"Computers","Computers Accessories","Black",754,2015-03-21 00:00:00.000,"Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Black",15.24,29.9,2016-09-21 00:00:00.000
"Computers","Computers Accessories","Black",755,2011-04-18 00:00:00.000,"Contoso Home/Office Laptop Power Adapter E300 Black",13,25.5,2020-10-31 00:00:00.000
"Computers","Computers Accessories","Black",756,2015-08-02 00:00:00.000,"Contoso USB 2.0 Dock Station docking station M800 Black",13.75,29.9,2033-02-26 00:00:00.000
"Computers","Computers Accessories","Black",757,2011-08-31 00:00:00.000,"Contoso Enhanced Capacity Battery M800 Black",12.83,27.9,2037-04-08 00:00:00.000
"Computers","Computers Accessories","Black",758,2015-12-15 00:00:00.000,"Contoso Connectivity Starter Kit Smart Buy M680 Black",12.83,27.9,2022-03-19 00:00:00.000
"Computers","Computers Accessories","Black",759,2012-01-12 00:00:00.000,"Contoso 90W AC/DC Power Adapter E300 Black",6.07,11.9,2026-04-29 00:00:00.000
"Computers","Computers Accessories","Black",760,2016-04-27 00:00:00.000,"Contoso Reserve Pen - Tablet Pen E200 Black",7.09,13.9,2038-08-25 00:00:00.000
"Computers","Computers Accessories","Black",761,2012-05-26 00:00:00.000,"Contoso USB Data Link-direct connect adapter E600 Black",8.62,16.9,2015-05-20 00:00:00.000
"Computers","Computers Accessories","Black",762,2016-09-09 00:00:00.000,"Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Black",11.23,33.9,2027-09-15 00:00:00.000
"Computers","Computers Accessories","Black",763,2012-10-07 00:00:00.000,"Contoso Digital camera accessory kit M200 Black",10.99,23.9,2031-10-25 00:00:00.000
"Computers","Computers Accessories","Black",764,2017-01-22 00:00:00.000,"Contoso Leather Case - case for digital photo camera X20 Black",13.22,39.9,2044-02-21 00:00:00.000
"Computers","Computers Accessories","Black",765,2013-02-19 00:00:00.000,"Contoso Lens cap E80 Black",15.27,29.95,2020-11-15 00:00:00.000
"Computers","Computers Accessories","Black",766,2017-06-05 00:00:00.000,"Contoso Battery charger - bike E200 Black",10.15,19.9,2033-03-13 00:00:00.000
"Computers","Computers Accessories","Black",767,2013-07-03 00:00:00.000,"Contoso USB Optical Mouse E200 Black",7.9,15.5,2037-04-22 00:00:00.000
"Computers","Computers Accessories","Black",768,2017-10-18 00:00:00.000,"Contoso ADSL Modem Splitter/Filter X 1 E100 Black",9.13,17.9,2022-04-03 00:00:00.000
"Computers","Computers Accessories","Black",769,2013-11-15 00:00:00.000,"Contoso ADSL Modem Splitter/Filter X 2 E200 Black",11.68,22.9,2026-05-13 00:00:00.000
"Computers","Computers Accessories","Black",770,2018-03-01 00:00:00.000,"Contoso ADSL Modem Splitter/Filter X 3 E300 Black",26.97,52.9,2038-09-09 00:00:00.000
"Computers","Computers Accessories","Black",771,2014-03-29 00:00:00.000,"Contoso USB Wave Multi-media Keyboard E280 Black",8.11,15.9,2015-06-03 00:00:00.000
"Computers","Computers Accessories","Black",772,2010-04-27 00:00:00.000,"Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Black",6.07,11.9,2019-07-14 00:00:00.000
"Computers","Computers Accessories","Black",842,2014-12-31 00:00:00.000,"Contoso Bright Light battery E20 Black",13.71,26.9,2038-12-23 00:00:00.000
"Computers","Computers Accessories","Black",846,2015-09-26 00:00:00.000,"Contoso Ultraportable Neoprene Sleeve E30 Black",7.95,15.6,2017-02-02 00:00:00.000
"Computers","Computers Accessories","Black",850,2016-06-21 00:00:00.000,"Contoso Laptop Keyboard X105 Black",76.5,230.9,2022-08-01 00:00:00.000
"Computers","Computers Accessories","Black",856,2017-07-30 00:00:00.000,"Contoso Multimedia Speakers M25 Black",59.32,129,2044-07-05 00:00:00.000
"Computers","Computers Accessories","Black",858,2017-12-11 00:00:00.000,"Contoso Wireless Notebook Optical Mouse M35 Black",13.77,29.95,2033-07-25 00:00:00.000
"Computers","Computers Accessories","Black",863,2014-10-05 00:00:00.000,"Contoso Optical USB Mouse M45 Black",23.45,50.99,2015-10-16 00:00:00.000
"Computers","Computers Accessories","Black",866,2011-03-17 00:00:00.000,"Contoso Wireless Laser Mouse M55 Black",32.19,69.99,2036-05-02 00:00:00.000
"Computers","Computers Accessories","Black",870,2011-12-11 00:00:00.000,"Contoso Wireless Laser Mouse E50 Black",10.69,20.96,2014-06-13 00:00:00.000
"Computers","Computers Accessories","Black",874,2012-09-05 00:00:00.000,"Contoso Wireless Notebook Optical Mouse X205 Black",43.06,129.95,2019-12-10 00:00:00.000
"Computers","Computers Accessories","Black",880,2013-10-14 00:00:00.000,"Contoso Optical Wheel OEM PS/2 Mouse E60 Black",6.63,13,2014-06-28 00:00:00.000
"Computers","Computers Accessories","Black",883,2010-03-25 00:00:00.000,"Contoso Bluetooth Notebook Mouse X305 Black",49.7,150,2035-01-13 00:00:00.000
"Computers","Computers Accessories","Black",887,2010-12-19 00:00:00.000,"Contoso Bluetooth Notebook Mouse E70 Black",25.49,50,2013-02-22 00:00:00.000
"Computers","Computers Accessories","Black",892,2015-12-30 00:00:00.000,"SV Rechargeable Bluetooth Notebook Mouse E80 Black",30.58,59.99,2030-12-18 00:00:00.000
"Computers","Computers Accessories","Black",897,2012-10-22 00:00:00.000,"SV Keyboard E90 Black",21.28,41.73,2013-03-09 00:00:00.000
"Computers","Computers Accessories","Black",901,2013-07-18 00:00:00.000,"SV Keyboard E10 Black",22.43,44,2018-09-05 00:00:00.000
"Computers","Computers Accessories","Black",912,2011-06-19 00:00:00.000,"SV 160GB USB2.0 Portable Hard Disk M65 Black",44.1,95.9,2022-10-30 00:00:00.000
